"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"13.06.2018 17:15 - 13.06.2018 17:30","550","559"
"13.06.2018 17:30 - 13.06.2018 17:45","559","555"
"13.06.2018 17:45 - 13.06.2018 18:00","568","556"
"13.06.2018 18:00 - 13.06.2018 18:15","573","551"
"13.06.2018 18:15 - 13.06.2018 18:30","571","552"
"13.06.2018 18:30 - 13.06.2018 18:45","570","549"
"13.06.2018 18:45 - 13.06.2018 19:00","569","544"
"13.06.2018 19:00 - 13.06.2018 19:15","569","543"
"13.06.2018 19:15 - 13.06.2018 19:30","562","540"
"13.06.2018 19:30 - 13.06.2018 19:45","560","542"
"13.06.2018 19:45 - 13.06.2018 20:00","551","543"
"13.06.2018 20:00 - 13.06.2018 20:15","545","545"
"13.06.2018 20:15 - 13.06.2018 20:30","536","543"
"13.06.2018 20:30 - 13.06.2018 20:45","528","541"
"13.06.2018 20:45 - 13.06.2018 21:00","520","547"
"13.06.2018 21:00 - 13.06.2018 21:15","514","546"
"13.06.2018 21:15 - 13.06.2018 21:30","509","543"
"13.06.2018 21:30 - 13.06.2018 21:45","505","539"
"13.06.2018 21:45 - 13.06.2018 22:00","504","539"
"13.06.2018 22:00 - 13.06.2018 22:15","501","534"
"13.06.2018 22:15 - 13.06.2018 22:30","522","530"
"13.06.2018 22:30 - 13.06.2018 22:45","521","524"
"13.06.2018 22:45 - 13.06.2018 23:00","513","513"
"13.06.2018 23:00 - 13.06.2018 23:15","502","507"
"13.06.2018 23:15 - 13.06.2018 23:30","492","501"
"13.06.2018 23:30 - 13.06.2018 23:45","480","495"
"13.06.2018 23:45 - 14.06.2018 00:00","470","489"
"14.06.2018 00:00 - 14.06.2018 00:15","459","486"
"14.06.2018 00:15 - 14.06.2018 00:30","449","503"
"14.06.2018 00:30 - 14.06.2018 00:45","441","509"
"14.06.2018 00:45 - 14.06.2018 01:00","435","504"
"14.06.2018 01:00 - 14.06.2018 01:15","429","490"
"14.06.2018 01:15 - 14.06.2018 01:30","423","483"
"14.06.2018 01:30 - 14.06.2018 01:45","420","472"
"14.06.2018 01:45 - 14.06.2018 02:00","417","464"
"14.06.2018 02:00 - 14.06.2018 02:15","417","458"
"14.06.2018 02:15 - 14.06.2018 02:30","417","449"
"14.06.2018 02:30 - 14.06.2018 02:45","418","444"
"14.06.2018 02:45 - 14.06.2018 03:00","417","437"
"14.06.2018 03:00 - 14.06.2018 03:15","418","434"
"14.06.2018 03:15 - 14.06.2018 03:30","415","427"
"14.06.2018 03:30 - 14.06.2018 03:45","418","424"
"14.06.2018 03:45 - 14.06.2018 04:00","417","422"
"14.06.2018 04:00 - 14.06.2018 04:15","416","422"
"14.06.2018 04:15 - 14.06.2018 04:30","417","421"
"14.06.2018 04:30 - 14.06.2018 04:45","416","419"
"14.06.2018 04:45 - 14.06.2018 05:00","423","416"
"14.06.2018 05:00 - 14.06.2018 05:15","431","415"
"14.06.2018 05:15 - 14.06.2018 05:30","435","417"
"14.06.2018 05:30 - 14.06.2018 05:45","434","418"
"14.06.2018 05:45 - 14.06.2018 06:00","436","415"
"14.06.2018 06:00 - 14.06.2018 06:15","451","417"
"14.06.2018 06:15 - 14.06.2018 06:30","457","422"
"14.06.2018 06:30 - 14.06.2018 06:45","466","429"
"14.06.2018 06:45 - 14.06.2018 07:00","478","429"
"14.06.2018 07:00 - 14.06.2018 07:15","493","427"
"14.06.2018 07:15 - 14.06.2018 07:30","506","432"
"14.06.2018 07:30 - 14.06.2018 07:45","510","433"
"14.06.2018 07:45 - 14.06.2018 08:00","522","436"
"14.06.2018 08:00 - 14.06.2018 08:15","533","446"
"14.06.2018 08:15 - 14.06.2018 08:30","542","451"
"14.06.2018 08:30 - 14.06.2018 08:45","549","450"
"14.06.2018 08:45 - 14.06.2018 09:00","550","466"
"14.06.2018 09:00 - 14.06.2018 09:15","555","477"
"14.06.2018 09:15 - 14.06.2018 09:30","555","499"
"14.06.2018 09:30 - 14.06.2018 09:45","560","507"
"14.06.2018 09:45 - 14.06.2018 10:00","562","512"
"14.06.2018 10:00 - 14.06.2018 10:15","559","514"
"14.06.2018 10:15 - 14.06.2018 10:30","559","526"
"14.06.2018 10:30 - 14.06.2018 10:45","555","537"
"14.06.2018 10:45 - 14.06.2018 11:00","557","544"
"14.06.2018 11:00 - 14.06.2018 11:15","559","550"
"14.06.2018 11:15 - 14.06.2018 11:30","562","551"
"14.06.2018 11:30 - 14.06.2018 11:45","568","548"
"14.06.2018 11:45 - 14.06.2018 12:00","571","547"
"14.06.2018 12:00 - 14.06.2018 12:15","569","549"
"14.06.2018 12:15 - 14.06.2018 12:30","567","553"
"14.06.2018 12:30 - 14.06.2018 12:45","566","561"
"14.06.2018 12:45 - 14.06.2018 13:00","562","573"
"14.06.2018 13:00 - 14.06.2018 13:15","563","574"
"14.06.2018 13:15 - 14.06.2018 13:30","569","582"
"14.06.2018 13:30 - 14.06.2018 13:45","573","592"
"14.06.2018 13:45 - 14.06.2018 14:00","559","596"
"14.06.2018 14:00 - 14.06.2018 14:15","562","594"
"14.06.2018 14:15 - 14.06.2018 14:30","565","584"
"14.06.2018 14:30 - 14.06.2018 14:45","569","576"
"14.06.2018 14:45 - 14.06.2018 15:00","566","561"
"14.06.2018 15:00 - 14.06.2018 15:15","565","555"
"14.06.2018 15:15 - 14.06.2018 15:30","557","549"
"14.06.2018 15:30 - 14.06.2018 15:45","562","550"
"14.06.2018 15:45 - 14.06.2018 16:00","557","546"
"14.06.2018 16:00 - 14.06.2018 16:15","550","545"
"14.06.2018 16:15 - 14.06.2018 16:30","550","540"
"14.06.2018 16:30 - 14.06.2018 16:45","553","537"
"14.06.2018 16:45 - 14.06.2018 17:00","549","536"
"14.06.2018 17:00 - 14.06.2018 17:15","544","536"
"14.06.2018 17:15 - 14.06.2018 17:30","546","530"
"14.06.2018 17:30 - 14.06.2018 17:45","547","529"
"14.06.2018 17:45 - 14.06.2018 18:00","543","533"
"14.06.2018 18:00 - 14.06.2018 18:15","540","533"
"14.06.2018 18:15 - 14.06.2018 18:30","547","529"
"14.06.2018 18:30 - 14.06.2018 18:45","549","536"
"14.06.2018 18:45 - 14.06.2018 19:00","550","541"
"14.06.2018 19:00 - 14.06.2018 19:15","549","538"
"14.06.2018 19:15 - 14.06.2018 19:30","547","543"
"14.06.2018 19:30 - 14.06.2018 19:45","547","544"
"14.06.2018 19:45 - 14.06.2018 20:00","543","553"
"14.06.2018 20:00 - 14.06.2018 20:15","533","559"
"14.06.2018 20:15 - 14.06.2018 20:30","533","559"
"14.06.2018 20:30 - 14.06.2018 20:45","531","558"
"14.06.2018 20:45 - 14.06.2018 21:00","520","563"
"14.06.2018 21:00 - 14.06.2018 21:15","513","570"
"14.06.2018 21:15 - 14.06.2018 21:30","509","563"
"14.06.2018 21:30 - 14.06.2018 21:45","501","560"
"14.06.2018 21:45 - 14.06.2018 22:00","496","552"
"14.06.2018 22:00 - 14.06.2018 22:15","490","546"
"14.06.2018 22:15 - 14.06.2018 22:30","508","535"
"14.06.2018 22:30 - 14.06.2018 22:45","505","520"
"14.06.2018 22:45 - 14.06.2018 23:00","496","513"
"14.06.2018 23:00 - 14.06.2018 23:15","485","504"
"14.06.2018 23:15 - 14.06.2018 23:30","475","506"
"14.06.2018 23:30 - 14.06.2018 23:45","463","501"
"14.06.2018 23:45 - 15.06.2018 00:00","454","498"
"15.06.2018 00:00 - 15.06.2018 00:15","442","498"
"15.06.2018 00:15 - 15.06.2018 00:30","447","502"
"15.06.2018 00:30 - 15.06.2018 00:45","439","498"
"15.06.2018 00:45 - 15.06.2018 01:00","432","491"
"15.06.2018 01:00 - 15.06.2018 01:15","427","477"
"15.06.2018 01:15 - 15.06.2018 01:30","423","464"
"15.06.2018 01:30 - 15.06.2018 01:45","420","458"
"15.06.2018 01:45 - 15.06.2018 02:00","417","451"
"15.06.2018 02:00 - 15.06.2018 02:15","414","448"
"15.06.2018 02:15 - 15.06.2018 02:30","415","442"
"15.06.2018 02:30 - 15.06.2018 02:45","413","432"
"15.06.2018 02:45 - 15.06.2018 03:00","414","425"
"15.06.2018 03:00 - 15.06.2018 03:15","414","422"
"15.06.2018 03:15 - 15.06.2018 03:30","419","418"
"15.06.2018 03:30 - 15.06.2018 03:45","418","420"
"15.06.2018 03:45 - 15.06.2018 04:00","417","418"
"15.06.2018 04:00 - 15.06.2018 04:15","416","414"
"15.06.2018 04:15 - 15.06.2018 04:30","421","414"
"15.06.2018 04:30 - 15.06.2018 04:45","425","411"
"15.06.2018 04:45 - 15.06.2018 05:00","427","410"
"15.06.2018 05:00 - 15.06.2018 05:15","432","408"
"15.06.2018 05:15 - 15.06.2018 05:30","443","411"
"15.06.2018 05:30 - 15.06.2018 05:45","446","411"
"15.06.2018 05:45 - 15.06.2018 06:00","453","411"
"15.06.2018 06:00 - 15.06.2018 06:15","457","413"
"15.06.2018 06:15 - 15.06.2018 06:30","470","418"
"15.06.2018 06:30 - 15.06.2018 06:45","474","414"
"15.06.2018 06:45 - 15.06.2018 07:00","487","416"
"15.06.2018 07:00 - 15.06.2018 07:15","502","428"
"15.06.2018 07:15 - 15.06.2018 07:30","519","433"
"15.06.2018 07:30 - 15.06.2018 07:45","532","438"
"15.06.2018 07:45 - 15.06.2018 08:00","542","433"
"15.06.2018 08:00 - 15.06.2018 08:15","552","441"
"15.06.2018 08:15 - 15.06.2018 08:30","551","452"
"15.06.2018 08:30 - 15.06.2018 08:45","559","459"
"15.06.2018 08:45 - 15.06.2018 09:00","567","477"
"15.06.2018 09:00 - 15.06.2018 09:15","571","492"
"15.06.2018 09:15 - 15.06.2018 09:30","576","521"
"15.06.2018 09:30 - 15.06.2018 09:45","579","534"
"15.06.2018 09:45 - 15.06.2018 10:00","581","537"
"15.06.2018 10:00 - 15.06.2018 10:15","583","546"
"15.06.2018 10:15 - 15.06.2018 10:30","585","556"
"15.06.2018 10:30 - 15.06.2018 10:45","588","565"
"15.06.2018 10:45 - 15.06.2018 11:00","586","571"
"15.06.2018 11:00 - 15.06.2018 11:15","588","570"
"15.06.2018 11:15 - 15.06.2018 11:30","595","579"
"15.06.2018 11:30 - 15.06.2018 11:45","597","589"
"15.06.2018 11:45 - 15.06.2018 12:00","606","598"
"15.06.2018 12:00 - 15.06.2018 12:15","607","600"
"15.06.2018 12:15 - 15.06.2018 12:30","586","605"
"15.06.2018 12:30 - 15.06.2018 12:45","577","605"
"15.06.2018 12:45 - 15.06.2018 13:00","571","604"
"15.06.2018 13:00 - 15.06.2018 13:15","572","602"
"15.06.2018 13:15 - 15.06.2018 13:30","567","603"
"15.06.2018 13:30 - 15.06.2018 13:45","567","604"
"15.06.2018 13:45 - 15.06.2018 14:00","568","608"
"15.06.2018 14:00 - 15.06.2018 14:15","565","604"
"15.06.2018 14:15 - 15.06.2018 14:30","558","595"
"15.06.2018 14:30 - 15.06.2018 14:45","553","585"
"15.06.2018 14:45 - 15.06.2018 15:00","547","575"
"15.06.2018 15:00 - 15.06.2018 15:15","543","567"
"15.06.2018 15:15 - 15.06.2018 15:30","553","565"
"15.06.2018 15:30 - 15.06.2018 15:45","548","564"
"15.06.2018 15:45 - 15.06.2018 16:00","542","565"
"15.06.2018 16:00 - 15.06.2018 16:15","541","561"
"15.06.2018 16:15 - 15.06.2018 16:30","543","557"
"15.06.2018 16:30 - 15.06.2018 16:45","540","556"
"15.06.2018 16:45 - 15.06.2018 17:00","531","549"
"15.06.2018 17:00 - 15.06.2018 17:15","526","547"
"15.06.2018 17:15 - 15.06.2018 17:30","532","543"
"15.06.2018 17:30 - 15.06.2018 17:45","534","542"
"15.06.2018 17:45 - 15.06.2018 18:00","536","538"
"15.06.2018 18:00 - 15.06.2018 18:15","540","539"
"15.06.2018 18:15 - 15.06.2018 18:30","533","536"
"15.06.2018 18:30 - 15.06.2018 18:45","535","535"
"15.06.2018 18:45 - 15.06.2018 19:00","536","531"
"15.06.2018 19:00 - 15.06.2018 19:15","532","532"
"15.06.2018 19:15 - 15.06.2018 19:30","540","535"
"15.06.2018 19:30 - 15.06.2018 19:45","535","539"
"15.06.2018 19:45 - 15.06.2018 20:00","534","540"
"15.06.2018 20:00 - 15.06.2018 20:15","527","540"
"15.06.2018 20:15 - 15.06.2018 20:30","528","539"
"15.06.2018 20:30 - 15.06.2018 20:45","525","542"
"15.06.2018 20:45 - 15.06.2018 21:00","518","539"
"15.06.2018 21:00 - 15.06.2018 21:15","512","542"
"15.06.2018 21:15 - 15.06.2018 21:30","503","543"
"15.06.2018 21:30 - 15.06.2018 21:45","496","539"
"15.06.2018 21:45 - 15.06.2018 22:00","495","537"
"15.06.2018 22:00 - 15.06.2018 22:15","490","530"
"15.06.2018 22:15 - 15.06.2018 22:30","503","526"
"15.06.2018 22:30 - 15.06.2018 22:45","504","521"
"15.06.2018 22:45 - 15.06.2018 23:00","497","520"
"15.06.2018 23:00 - 15.06.2018 23:15","488","509"
"15.06.2018 23:15 - 15.06.2018 23:30","481","498"
"15.06.2018 23:30 - 15.06.2018 23:45","474","489"
"15.06.2018 23:45 - 16.06.2018 00:00","466","481"
"16.06.2018 00:00 - 16.06.2018 00:15","456","479"
"16.06.2018 00:15 - 16.06.2018 00:30","447","498"
"16.06.2018 00:30 - 16.06.2018 00:45","441","503"
"16.06.2018 00:45 - 16.06.2018 01:00","435","498"
"16.06.2018 01:00 - 16.06.2018 01:15","430","489"
"16.06.2018 01:15 - 16.06.2018 01:30","423","478"
"16.06.2018 01:30 - 16.06.2018 01:45","416","473"
"16.06.2018 01:45 - 16.06.2018 02:00","412","461"
"16.06.2018 02:00 - 16.06.2018 02:15","409","453"
"16.06.2018 02:15 - 16.06.2018 02:30","408","428"
"16.06.2018 02:30 - 16.06.2018 02:45","404","402"
"16.06.2018 02:45 - 16.06.2018 03:00","403","396"
"16.06.2018 03:00 - 16.06.2018 03:15","402","384"
"16.06.2018 03:15 - 16.06.2018 03:30","402","317"
"16.06.2018 03:30 - 16.06.2018 03:45","400","255"
"16.06.2018 03:45 - 16.06.2018 04:00","398","294"
"16.06.2018 04:00 - 16.06.2018 04:15","396","324"
"16.06.2018 04:15 - 16.06.2018 04:30","400","316"
"16.06.2018 04:30 - 16.06.2018 04:45","397","289"
"16.06.2018 04:45 - 16.06.2018 05:00","397","261"
"16.06.2018 05:00 - 16.06.2018 05:15","397","265"
"16.06.2018 05:15 - 16.06.2018 05:30","397","255"
"16.06.2018 05:30 - 16.06.2018 05:45","397","225"
"16.06.2018 05:45 - 16.06.2018 06:00","396","211"
"16.06.2018 06:00 - 16.06.2018 06:15","397","227"
"16.06.2018 06:15 - 16.06.2018 06:30","393","201"
"16.06.2018 06:30 - 16.06.2018 06:45","384","204"
"16.06.2018 06:45 - 16.06.2018 07:00","385","198"
"16.06.2018 07:00 - 16.06.2018 07:15","389","179"
"16.06.2018 07:15 - 16.06.2018 07:30","395","179"
"16.06.2018 07:30 - 16.06.2018 07:45","401","171"
"16.06.2018 07:45 - 16.06.2018 08:00","405","172"
"16.06.2018 08:00 - 16.06.2018 08:15","416","159"
"16.06.2018 08:15 - 16.06.2018 08:30","424","173"
"16.06.2018 08:30 - 16.06.2018 08:45","428","170"
"16.06.2018 08:45 - 16.06.2018 09:00","432","154"
"16.06.2018 09:00 - 16.06.2018 09:15","440","188"
"16.06.2018 09:15 - 16.06.2018 09:30","444","211"
"16.06.2018 09:30 - 16.06.2018 09:45","449","226"
"16.06.2018 09:45 - 16.06.2018 10:00","454","228"
"16.06.2018 10:00 - 16.06.2018 10:15","458","234"
"16.06.2018 10:15 - 16.06.2018 10:30","464","283"
"16.06.2018 10:30 - 16.06.2018 10:45","469","284"
"16.06.2018 10:45 - 16.06.2018 11:00","470","273"
"16.06.2018 11:00 - 16.06.2018 11:15","472","280"
"16.06.2018 11:15 - 16.06.2018 11:30","483","323"
"16.06.2018 11:30 - 16.06.2018 11:45","489","325"
"16.06.2018 11:45 - 16.06.2018 12:00","493","341"
"16.06.2018 12:00 - 16.06.2018 12:15","497","355"
"16.06.2018 12:15 - 16.06.2018 12:30","495","344"
"16.06.2018 12:30 - 16.06.2018 12:45","491","348"
"16.06.2018 12:45 - 16.06.2018 13:00","487","340"
"16.06.2018 13:00 - 16.06.2018 13:15","483","328"
"16.06.2018 13:15 - 16.06.2018 13:30","468","333"
"16.06.2018 13:30 - 16.06.2018 13:45","463","364"
"16.06.2018 13:45 - 16.06.2018 14:00","462","374"
"16.06.2018 14:00 - 16.06.2018 14:15","452","380"
"16.06.2018 14:15 - 16.06.2018 14:30","452","405"
"16.06.2018 14:30 - 16.06.2018 14:45","450","368"
"16.06.2018 14:45 - 16.06.2018 15:00","448","384"
"16.06.2018 15:00 - 16.06.2018 15:15","445","352"
"16.06.2018 15:15 - 16.06.2018 15:30","440","321"
"16.06.2018 15:30 - 16.06.2018 15:45","434","297"
"16.06.2018 15:45 - 16.06.2018 16:00","432","288"
"16.06.2018 16:00 - 16.06.2018 16:15","428","281"
"16.06.2018 16:15 - 16.06.2018 16:30","431","283"
"16.06.2018 16:30 - 16.06.2018 16:45","429","309"
"16.06.2018 16:45 - 16.06.2018 17:00","434","285"
"16.06.2018 17:00 - 16.06.2018 17:15","436","267"
"16.06.2018 17:15 - 16.06.2018 17:30","430","200"
"16.06.2018 17:30 - 16.06.2018 17:45","433","175"
"16.06.2018 17:45 - 16.06.2018 18:00","438","198"
"16.06.2018 18:00 - 16.06.2018 18:15","441","178"
"16.06.2018 18:15 - 16.06.2018 18:30","434","193"
"16.06.2018 18:30 - 16.06.2018 18:45","437","200"
"16.06.2018 18:45 - 16.06.2018 19:00","440","216"
"16.06.2018 19:00 - 16.06.2018 19:15","441","242"
"16.06.2018 19:15 - 16.06.2018 19:30","444","279"
"16.06.2018 19:30 - 16.06.2018 19:45","445","304"
"16.06.2018 19:45 - 16.06.2018 20:00","444","289"
"16.06.2018 20:00 - 16.06.2018 20:15","438","276"
"16.06.2018 20:15 - 16.06.2018 20:30","446","285"
"16.06.2018 20:30 - 16.06.2018 20:45","440","343"
"16.06.2018 20:45 - 16.06.2018 21:00","437","359"
"16.06.2018 21:00 - 16.06.2018 21:15","435","368"
"16.06.2018 21:15 - 16.06.2018 21:30","435","344"
"16.06.2018 21:30 - 16.06.2018 21:45","431","332"
"16.06.2018 21:45 - 16.06.2018 22:00","432","319"
"16.06.2018 22:00 - 16.06.2018 22:15","434","319"
"16.06.2018 22:15 - 16.06.2018 22:30","450","331"
"16.06.2018 22:30 - 16.06.2018 22:45","453","325"
"16.06.2018 22:45 - 16.06.2018 23:00","446","334"
"16.06.2018 23:00 - 16.06.2018 23:15","439","326"
"16.06.2018 23:15 - 16.06.2018 23:30","436","344"
"16.06.2018 23:30 - 16.06.2018 23:45","431","360"
"16.06.2018 23:45 - 17.06.2018 00:00","429","368"
"17.06.2018 00:00 - 17.06.2018 00:15","422","374"
"17.06.2018 00:15 - 17.06.2018 00:30","413","460"
"17.06.2018 00:30 - 17.06.2018 00:45","406","509"
"17.06.2018 00:45 - 17.06.2018 01:00","398","538"
"17.06.2018 01:00 - 17.06.2018 01:15","395","548"
"17.06.2018 01:15 - 17.06.2018 01:30","390","481"
"17.06.2018 01:30 - 17.06.2018 01:45","385","481"
"17.06.2018 01:45 - 17.06.2018 02:00","382","491"
"17.06.2018 02:00 - 17.06.2018 02:15","379","513"
"17.06.2018 02:15 - 17.06.2018 02:30","381","404"
"17.06.2018 02:30 - 17.06.2018 02:45","376","369"
"17.06.2018 02:45 - 17.06.2018 03:00","375","353"
"17.06.2018 03:00 - 17.06.2018 03:15","373","380"
"17.06.2018 03:15 - 17.06.2018 03:30","372","342"
"17.06.2018 03:30 - 17.06.2018 03:45","372","318"
"17.06.2018 03:45 - 17.06.2018 04:00","369","333"
"17.06.2018 04:00 - 17.06.2018 04:15","368","308"
"17.06.2018 04:15 - 17.06.2018 04:30","364","282"
"17.06.2018 04:30 - 17.06.2018 04:45","364","272"
"17.06.2018 04:45 - 17.06.2018 05:00","364","259"
"17.06.2018 05:00 - 17.06.2018 05:15","363","240"
"17.06.2018 05:15 - 17.06.2018 05:30","366","227"
"17.06.2018 05:30 - 17.06.2018 05:45","365","228"
"17.06.2018 05:45 - 17.06.2018 06:00","362","212"
"17.06.2018 06:00 - 17.06.2018 06:15","361","211"
"17.06.2018 06:15 - 17.06.2018 06:30","338","174"
"17.06.2018 06:30 - 17.06.2018 06:45","326","147"
"17.06.2018 06:45 - 17.06.2018 07:00","328","180"
"17.06.2018 07:00 - 17.06.2018 07:15","332","207"
"17.06.2018 07:15 - 17.06.2018 07:30","341","230"
"17.06.2018 07:30 - 17.06.2018 07:45","343","215"
"17.06.2018 07:45 - 17.06.2018 08:00","348","223"
"17.06.2018 08:00 - 17.06.2018 08:15","355","243"
"17.06.2018 08:15 - 17.06.2018 08:30","361","286"
"17.06.2018 08:30 - 17.06.2018 08:45","363","286"
"17.06.2018 08:45 - 17.06.2018 09:00","365","266"
"17.06.2018 09:00 - 17.06.2018 09:15","370","254"
"17.06.2018 09:15 - 17.06.2018 09:30","375","298"
"17.06.2018 09:30 - 17.06.2018 09:45","379","340"
"17.06.2018 09:45 - 17.06.2018 10:00","381","342"
"17.06.2018 10:00 - 17.06.2018 10:15","384","327"
"17.06.2018 10:15 - 17.06.2018 10:30","391","419"
"17.06.2018 10:30 - 17.06.2018 10:45","395","432"
"17.06.2018 10:45 - 17.06.2018 11:00","404","430"
"17.06.2018 11:00 - 17.06.2018 11:15","403","443"
"17.06.2018 11:15 - 17.06.2018 11:30","417","447"
"17.06.2018 11:30 - 17.06.2018 11:45","422","458"
"17.06.2018 11:45 - 17.06.2018 12:00","424","468"
"17.06.2018 12:00 - 17.06.2018 12:15","427","489"
"17.06.2018 12:15 - 17.06.2018 12:30","431","500"
"17.06.2018 12:30 - 17.06.2018 12:45","429","519"
"17.06.2018 12:45 - 17.06.2018 13:00","428","538"
"17.06.2018 13:00 - 17.06.2018 13:15","422","532"
"17.06.2018 13:15 - 17.06.2018 13:30","403","503"
"17.06.2018 13:30 - 17.06.2018 13:45","401","488"
"17.06.2018 13:45 - 17.06.2018 14:00","401","490"
"17.06.2018 14:00 - 17.06.2018 14:15","399","512"
"17.06.2018 14:15 - 17.06.2018 14:30","390","510"
"17.06.2018 14:30 - 17.06.2018 14:45","390","477"
"17.06.2018 14:45 - 17.06.2018 15:00","385","489"
"17.06.2018 15:00 - 17.06.2018 15:15","382","515"
"17.06.2018 15:15 - 17.06.2018 15:30","382","471"
"17.06.2018 15:30 - 17.06.2018 15:45","378","476"
"17.06.2018 15:45 - 17.06.2018 16:00","380","464"
"17.06.2018 16:00 - 17.06.2018 16:15","379","493"
"17.06.2018 16:15 - 17.06.2018 16:30","375","486"
"17.06.2018 16:30 - 17.06.2018 16:45","376","473"
"17.06.2018 16:45 - 17.06.2018 17:00","376","469"
"17.06.2018 17:00 - 17.06.2018 17:15","375","437"
"17.06.2018 17:15 - 17.06.2018 17:30","376","433"
"17.06.2018 17:30 - 17.06.2018 17:45","377","436"
"17.06.2018 17:45 - 17.06.2018 18:00","383","415"
"17.06.2018 18:00 - 17.06.2018 18:15","389","390"
"17.06.2018 18:15 - 17.06.2018 18:30","393","392"
"17.06.2018 18:30 - 17.06.2018 18:45","399","358"
"17.06.2018 18:45 - 17.06.2018 19:00","406","395"
"17.06.2018 19:00 - 17.06.2018 19:15","411","391"
"17.06.2018 19:15 - 17.06.2018 19:30","417","354"
"17.06.2018 19:30 - 17.06.2018 19:45","420","354"
"17.06.2018 19:45 - 17.06.2018 20:00","419","349"
"17.06.2018 20:00 - 17.06.2018 20:15","421","369"
"17.06.2018 20:15 - 17.06.2018 20:30","437","404"
"17.06.2018 20:30 - 17.06.2018 20:45","432","407"
"17.06.2018 20:45 - 17.06.2018 21:00","428","388"
"17.06.2018 21:00 - 17.06.2018 21:15","425","407"
"17.06.2018 21:15 - 17.06.2018 21:30","427","448"
"17.06.2018 21:30 - 17.06.2018 21:45","426","449"
"17.06.2018 21:45 - 17.06.2018 22:00","428","457"
"17.06.2018 22:00 - 17.06.2018 22:15","427","433"
"17.06.2018 22:15 - 17.06.2018 22:30","444","408"
"17.06.2018 22:30 - 17.06.2018 22:45","447","370"
"17.06.2018 22:45 - 17.06.2018 23:00","442","363"
"17.06.2018 23:00 - 17.06.2018 23:15","432","360"
"17.06.2018 23:15 - 17.06.2018 23:30","419","350"
"17.06.2018 23:30 - 17.06.2018 23:45","413","314"
"17.06.2018 23:45 - 18.06.2018 00:00","409","318"
"18.06.2018 00:00 - 18.06.2018 00:15","401","340"
"18.06.2018 00:15 - 18.06.2018 00:30","395","469"
"18.06.2018 00:30 - 18.06.2018 00:45","389","484"
"18.06.2018 00:45 - 18.06.2018 01:00","383","485"
"18.06.2018 01:00 - 18.06.2018 01:15","382","461"
"18.06.2018 01:15 - 18.06.2018 01:30","378","454"
"18.06.2018 01:30 - 18.06.2018 01:45","376","430"
"18.06.2018 01:45 - 18.06.2018 02:00","372","432"
"18.06.2018 02:00 - 18.06.2018 02:15","370","414"
"18.06.2018 02:15 - 18.06.2018 02:30","370","337"
"18.06.2018 02:30 - 18.06.2018 02:45","367","355"
"18.06.2018 02:45 - 18.06.2018 03:00","366","363"
"18.06.2018 03:00 - 18.06.2018 03:15","363","330"
"18.06.2018 03:15 - 18.06.2018 03:30","363","288"
"18.06.2018 03:30 - 18.06.2018 03:45","364","269"
"18.06.2018 03:45 - 18.06.2018 04:00","363","367"
"18.06.2018 04:00 - 18.06.2018 04:15","366","364"
"18.06.2018 04:15 - 18.06.2018 04:30","369","363"
"18.06.2018 04:30 - 18.06.2018 04:45","372","367"
"18.06.2018 04:45 - 18.06.2018 05:00","373","364"
"18.06.2018 05:00 - 18.06.2018 05:15","379","364"
"18.06.2018 05:15 - 18.06.2018 05:30","385","367"
"18.06.2018 05:30 - 18.06.2018 05:45","385","370"
"18.06.2018 05:45 - 18.06.2018 06:00","389","369"
"18.06.2018 06:00 - 18.06.2018 06:15","402","374"
"18.06.2018 06:15 - 18.06.2018 06:30","415","377"
"18.06.2018 06:30 - 18.06.2018 06:45","417","376"
"18.06.2018 06:45 - 18.06.2018 07:00","432","376"
"18.06.2018 07:00 - 18.06.2018 07:15","446","381"
"18.06.2018 07:15 - 18.06.2018 07:30","464","389"
"18.06.2018 07:30 - 18.06.2018 07:45","479","387"
"18.06.2018 07:45 - 18.06.2018 08:00","490","388"
"18.06.2018 08:00 - 18.06.2018 08:15","500","401"
"18.06.2018 08:15 - 18.06.2018 08:30","504","414"
"18.06.2018 08:30 - 18.06.2018 08:45","515","418"
"18.06.2018 08:45 - 18.06.2018 09:00","518","434"
"18.06.2018 09:00 - 18.06.2018 09:15","530","458"
"18.06.2018 09:15 - 18.06.2018 09:30","533","484"
"18.06.2018 09:30 - 18.06.2018 09:45","536","495"
"18.06.2018 09:45 - 18.06.2018 10:00","536","505"
"18.06.2018 10:00 - 18.06.2018 10:15","539","522"
"18.06.2018 10:15 - 18.06.2018 10:30","548","530"
"18.06.2018 10:30 - 18.06.2018 10:45","551","540"
"18.06.2018 10:45 - 18.06.2018 11:00","554","529"
"18.06.2018 11:00 - 18.06.2018 11:15","556","538"
"18.06.2018 11:15 - 18.06.2018 11:30","564","541"
"18.06.2018 11:30 - 18.06.2018 11:45","565","536"
"18.06.2018 11:45 - 18.06.2018 12:00","570","531"
"18.06.2018 12:00 - 18.06.2018 12:15","573","530"
"18.06.2018 12:15 - 18.06.2018 12:30","555","537"
"18.06.2018 12:30 - 18.06.2018 12:45","545","547"
"18.06.2018 12:45 - 18.06.2018 13:00","539","551"
"18.06.2018 13:00 - 18.06.2018 13:15","537","553"
