"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"03.01.2018 09:30 - 03.01.2018 09:45","522","460"
"03.01.2018 09:45 - 03.01.2018 10:00","523","468"
"03.01.2018 10:00 - 03.01.2018 10:15","535","484"
"03.01.2018 10:15 - 03.01.2018 10:30","536","481"
"03.01.2018 10:30 - 03.01.2018 10:45","537","482"
"03.01.2018 10:45 - 03.01.2018 11:00","538","485"
"03.01.2018 11:00 - 03.01.2018 11:15","551","490"
"03.01.2018 11:15 - 03.01.2018 11:30","551","487"
"03.01.2018 11:30 - 03.01.2018 11:45","552","483"
"03.01.2018 11:45 - 03.01.2018 12:00","552","483"
"03.01.2018 12:00 - 03.01.2018 12:15","561","481"
"03.01.2018 12:15 - 03.01.2018 12:30","562","482"
"03.01.2018 12:30 - 03.01.2018 12:45","562","498"
"03.01.2018 12:45 - 03.01.2018 13:00","563","500"
"03.01.2018 13:00 - 03.01.2018 13:15","555","498"
"03.01.2018 13:15 - 03.01.2018 13:30","553","490"
"03.01.2018 13:30 - 03.01.2018 13:45","552","481"
"03.01.2018 13:45 - 03.01.2018 14:00","551","473"
"03.01.2018 14:00 - 03.01.2018 14:15","537","471"
"03.01.2018 14:15 - 03.01.2018 14:30","537","475"
"03.01.2018 14:30 - 03.01.2018 14:45","537","479"
"03.01.2018 14:45 - 03.01.2018 15:00","537","476"
"03.01.2018 15:00 - 03.01.2018 15:15","520","468"
"03.01.2018 15:15 - 03.01.2018 15:30","519","466"
"03.01.2018 15:30 - 03.01.2018 15:45","519","474"
"03.01.2018 15:45 - 03.01.2018 16:00","518","466"
"03.01.2018 16:00 - 03.01.2018 16:15","506","460"
"03.01.2018 16:15 - 03.01.2018 16:30","505","456"
"03.01.2018 16:30 - 03.01.2018 16:45","505","458"
"03.01.2018 16:45 - 03.01.2018 17:00","505","456"
"03.01.2018 17:00 - 03.01.2018 17:15","511","459"
"03.01.2018 17:15 - 03.01.2018 17:30","511","456"
"03.01.2018 17:30 - 03.01.2018 17:45","511","458"
"03.01.2018 17:45 - 03.01.2018 18:00","512","467"
"03.01.2018 18:00 - 03.01.2018 18:15","546","478"
"03.01.2018 18:15 - 03.01.2018 18:30","547","499"
"03.01.2018 18:30 - 03.01.2018 18:45","547","506"
"03.01.2018 18:45 - 03.01.2018 19:00","548","515"
"03.01.2018 19:00 - 03.01.2018 19:15","553","524"
"03.01.2018 19:15 - 03.01.2018 19:30","553","522"
"03.01.2018 19:30 - 03.01.2018 19:45","553","521"
"03.01.2018 19:45 - 03.01.2018 20:00","553","522"
"03.01.2018 20:00 - 03.01.2018 20:15","525","517"
"03.01.2018 20:15 - 03.01.2018 20:30","524","509"
"03.01.2018 20:30 - 03.01.2018 20:45","523","498"
"03.01.2018 20:45 - 03.01.2018 21:00","523","491"
"03.01.2018 21:00 - 03.01.2018 21:15","486","480"
"03.01.2018 21:15 - 03.01.2018 21:30","484","469"
"03.01.2018 21:30 - 03.01.2018 21:45","483","455"
"03.01.2018 21:45 - 03.01.2018 22:00","481","450"
"03.01.2018 22:00 - 03.01.2018 22:15","446","441"
"03.01.2018 22:15 - 03.01.2018 22:30","445","433"
"03.01.2018 22:30 - 03.01.2018 22:45","444","423"
"03.01.2018 22:45 - 03.01.2018 23:00","442","411"
"03.01.2018 23:00 - 03.01.2018 23:15","480","403"
"03.01.2018 23:15 - 03.01.2018 23:30","480","443"
"03.01.2018 23:30 - 03.01.2018 23:45","479","456"
"03.01.2018 23:45 - 04.01.2018 00:00","477","454"
"04.01.2018 00:00 - 04.01.2018 00:15","449","438"
"04.01.2018 00:15 - 04.01.2018 00:30","448","422"
"04.01.2018 00:30 - 04.01.2018 00:45","447","418"
"04.01.2018 00:45 - 04.01.2018 01:00","446","409"
"04.01.2018 01:00 - 04.01.2018 01:15","412","401"
"04.01.2018 01:15 - 04.01.2018 01:30","403","396"
"04.01.2018 01:30 - 04.01.2018 01:45","397","388"
"04.01.2018 01:45 - 04.01.2018 02:00","392","388"
"04.01.2018 02:00 - 04.01.2018 02:15","385","381"
"04.01.2018 02:15 - 04.01.2018 02:30","380","374"
"04.01.2018 02:30 - 04.01.2018 02:45","376","371"
"04.01.2018 02:45 - 04.01.2018 03:00","372","365"
"04.01.2018 03:00 - 04.01.2018 03:15","373","358"
"04.01.2018 03:15 - 04.01.2018 03:30","369","358"
"04.01.2018 03:30 - 04.01.2018 03:45","367","360"
"04.01.2018 03:45 - 04.01.2018 04:00","367","364"
"04.01.2018 04:00 - 04.01.2018 04:15","366","367"
"04.01.2018 04:15 - 04.01.2018 04:30","366","364"
"04.01.2018 04:30 - 04.01.2018 04:45","366","360"
"04.01.2018 04:45 - 04.01.2018 05:00","364","361"
"04.01.2018 05:00 - 04.01.2018 05:15","368","363"
"04.01.2018 05:15 - 04.01.2018 05:30","368","368"
"04.01.2018 05:30 - 04.01.2018 05:45","370","375"
"04.01.2018 05:45 - 04.01.2018 06:00","374","385"
"04.01.2018 06:00 - 04.01.2018 06:15","388","398"
"04.01.2018 06:15 - 04.01.2018 06:30","393","407"
"04.01.2018 06:30 - 04.01.2018 06:45","396","410"
"04.01.2018 06:45 - 04.01.2018 07:00","406","419"
"04.01.2018 07:00 - 04.01.2018 07:15","402","437"
"04.01.2018 07:15 - 04.01.2018 07:30","410","436"
"04.01.2018 07:30 - 04.01.2018 07:45","422","426"
"04.01.2018 07:45 - 04.01.2018 08:00","434","451"
"04.01.2018 08:00 - 04.01.2018 08:15","473","469"
"04.01.2018 08:15 - 04.01.2018 08:30","485","488"
"04.01.2018 08:30 - 04.01.2018 08:45","499","503"
"04.01.2018 08:45 - 04.01.2018 09:00","511","514"
"04.01.2018 09:00 - 04.01.2018 09:15","538","527"
"04.01.2018 09:15 - 04.01.2018 09:30","539","554"
"04.01.2018 09:30 - 04.01.2018 09:45","538","573"
"04.01.2018 09:45 - 04.01.2018 10:00","543","568"
"04.01.2018 10:00 - 04.01.2018 10:15","555","572"
"04.01.2018 10:15 - 04.01.2018 10:30","556","581"
"04.01.2018 10:30 - 04.01.2018 10:45","558","580"
"04.01.2018 10:45 - 04.01.2018 11:00","561","586"
"04.01.2018 11:00 - 04.01.2018 11:15","569","586"
"04.01.2018 11:15 - 04.01.2018 11:30","572","585"
"04.01.2018 11:30 - 04.01.2018 11:45","572","588"
"04.01.2018 11:45 - 04.01.2018 12:00","573","588"
"04.01.2018 12:00 - 04.01.2018 12:15","575","588"
"04.01.2018 12:15 - 04.01.2018 12:30","579","590"
"04.01.2018 12:30 - 04.01.2018 12:45","584","587"
"04.01.2018 12:45 - 04.01.2018 13:00","589","591"
"04.01.2018 13:00 - 04.01.2018 13:15","576","595"
"04.01.2018 13:15 - 04.01.2018 13:30","568","582"
"04.01.2018 13:30 - 04.01.2018 13:45","561","569"
"04.01.2018 13:45 - 04.01.2018 14:00","556","554"
"04.01.2018 14:00 - 04.01.2018 14:15","555","540"
"04.01.2018 14:15 - 04.01.2018 14:30","551","536"
"04.01.2018 14:30 - 04.01.2018 14:45","547","535"
"04.01.2018 14:45 - 04.01.2018 15:00","542","522"
"04.01.2018 15:00 - 04.01.2018 15:15","534","514"
"04.01.2018 15:15 - 04.01.2018 15:30","536","502"
"04.01.2018 15:30 - 04.01.2018 15:45","533","495"
"04.01.2018 15:45 - 04.01.2018 16:00","531","494"
"04.01.2018 16:00 - 04.01.2018 16:15","519","488"
"04.01.2018 16:15 - 04.01.2018 16:30","514","488"
"04.01.2018 16:30 - 04.01.2018 16:45","516","484"
"04.01.2018 16:45 - 04.01.2018 17:00","516","478"
"04.01.2018 17:00 - 04.01.2018 17:15","512","482"
"04.01.2018 17:15 - 04.01.2018 17:30","514","483"
"04.01.2018 17:30 - 04.01.2018 17:45","518","489"
"04.01.2018 17:45 - 04.01.2018 18:00","529","490"
"04.01.2018 18:00 - 04.01.2018 18:15","536","502"
"04.01.2018 18:15 - 04.01.2018 18:30","544","511"
"04.01.2018 18:30 - 04.01.2018 18:45","551","515"
"04.01.2018 18:45 - 04.01.2018 19:00","553","518"
"04.01.2018 19:00 - 04.01.2018 19:15","566","522"
"04.01.2018 19:15 - 04.01.2018 19:30","566","524"
"04.01.2018 19:30 - 04.01.2018 19:45","564","521"
"04.01.2018 19:45 - 04.01.2018 20:00","562","522"
"04.01.2018 20:00 - 04.01.2018 20:15","547","518"
"04.01.2018 20:15 - 04.01.2018 20:30","542","510"
"04.01.2018 20:30 - 04.01.2018 20:45","535","503"
"04.01.2018 20:45 - 04.01.2018 21:00","528","491"
"04.01.2018 21:00 - 04.01.2018 21:15","507","482"
"04.01.2018 21:15 - 04.01.2018 21:30","495","474"
"04.01.2018 21:30 - 04.01.2018 21:45","486","462"
"04.01.2018 21:45 - 04.01.2018 22:00","477","453"
"04.01.2018 22:00 - 04.01.2018 22:15","459","445"
"04.01.2018 22:15 - 04.01.2018 22:30","452","434"
"04.01.2018 22:30 - 04.01.2018 22:45","443","421"
"04.01.2018 22:45 - 04.01.2018 23:00","436","409"
"04.01.2018 23:00 - 04.01.2018 23:15","466","396"
"04.01.2018 23:15 - 04.01.2018 23:30","467","435"
"04.01.2018 23:30 - 04.01.2018 23:45","462","447"
"04.01.2018 23:45 - 05.01.2018 00:00","455","435"
"05.01.2018 00:00 - 05.01.2018 00:15","442","428"
"05.01.2018 00:15 - 05.01.2018 00:30","434","426"
"05.01.2018 00:30 - 05.01.2018 00:45","429","411"
"05.01.2018 00:45 - 05.01.2018 01:00","421","415"
"05.01.2018 01:00 - 05.01.2018 01:15","390","426"
"05.01.2018 01:15 - 05.01.2018 01:30","379","430"
"05.01.2018 01:30 - 05.01.2018 01:45","374","409"
"05.01.2018 01:45 - 05.01.2018 02:00","371","406"
"05.01.2018 02:00 - 05.01.2018 02:15","364","413"
"05.01.2018 02:15 - 05.01.2018 02:30","360","401"
"05.01.2018 02:30 - 05.01.2018 02:45","355","421"
"05.01.2018 02:45 - 05.01.2018 03:00","351","428"
"05.01.2018 03:00 - 05.01.2018 03:15","349","411"
"05.01.2018 03:15 - 05.01.2018 03:30","347","377"
"05.01.2018 03:30 - 05.01.2018 03:45","345","375"
"05.01.2018 03:45 - 05.01.2018 04:00","345","362"
"05.01.2018 04:00 - 05.01.2018 04:15","344","361"
"05.01.2018 04:15 - 05.01.2018 04:30","344","326"
"05.01.2018 04:30 - 05.01.2018 04:45","343","311"
"05.01.2018 04:45 - 05.01.2018 05:00","343","315"
"05.01.2018 05:00 - 05.01.2018 05:15","339","310"
"05.01.2018 05:15 - 05.01.2018 05:30","342","318"
"05.01.2018 05:30 - 05.01.2018 05:45","346","299"
"05.01.2018 05:45 - 05.01.2018 06:00","351","293"
"05.01.2018 06:00 - 05.01.2018 06:15","366","319"
"05.01.2018 06:15 - 05.01.2018 06:30","370","308"
"05.01.2018 06:30 - 05.01.2018 06:45","373","389"
"05.01.2018 06:45 - 05.01.2018 07:00","384","424"
"05.01.2018 07:00 - 05.01.2018 07:15","378","407"
"05.01.2018 07:15 - 05.01.2018 07:30","386","457"
"05.01.2018 07:30 - 05.01.2018 07:45","398","517"
"05.01.2018 07:45 - 05.01.2018 08:00","411","515"
"05.01.2018 08:00 - 05.01.2018 08:15","452","519"
"05.01.2018 08:15 - 05.01.2018 08:30","462","601"
"05.01.2018 08:30 - 05.01.2018 08:45","480","617"
"05.01.2018 08:45 - 05.01.2018 09:00","489","609"
"05.01.2018 09:00 - 05.01.2018 09:15","507","604"
"05.01.2018 09:15 - 05.01.2018 09:30","512","638"
"05.01.2018 09:30 - 05.01.2018 09:45","513","636"
"05.01.2018 09:45 - 05.01.2018 10:00","516","640"
"05.01.2018 10:00 - 05.01.2018 10:15","529","640"
"05.01.2018 10:15 - 05.01.2018 10:30","530","651"
"05.01.2018 10:30 - 05.01.2018 10:45","535","638"
"05.01.2018 10:45 - 05.01.2018 11:00","535","629"
"05.01.2018 11:00 - 05.01.2018 11:15","541","627"
"05.01.2018 11:15 - 05.01.2018 11:30","542","676"
"05.01.2018 11:30 - 05.01.2018 11:45","542","688"
"05.01.2018 11:45 - 05.01.2018 12:00","543","664"
"05.01.2018 12:00 - 05.01.2018 12:15","546","671"
"05.01.2018 12:15 - 05.01.2018 12:30","551","710"
"05.01.2018 12:30 - 05.01.2018 12:45","555","685"
"05.01.2018 12:45 - 05.01.2018 13:00","560","702"
"05.01.2018 13:00 - 05.01.2018 13:15","550","697"
"05.01.2018 13:15 - 05.01.2018 13:30","543","695"
"05.01.2018 13:30 - 05.01.2018 13:45","533","645"
"05.01.2018 13:45 - 05.01.2018 14:00","527","614"
"05.01.2018 14:00 - 05.01.2018 14:15","541","631"
"05.01.2018 14:15 - 05.01.2018 14:30","536","603"
"05.01.2018 14:30 - 05.01.2018 14:45","532","602"
"05.01.2018 14:45 - 05.01.2018 15:00","528","572"
"05.01.2018 15:00 - 05.01.2018 15:15","530","572"
"05.01.2018 15:15 - 05.01.2018 15:30","529","551"
"05.01.2018 15:30 - 05.01.2018 15:45","526","539"
"05.01.2018 15:45 - 05.01.2018 16:00","523","525"
"05.01.2018 16:00 - 05.01.2018 16:15","529","501"
"05.01.2018 16:15 - 05.01.2018 16:30","524","550"
"05.01.2018 16:30 - 05.01.2018 16:45","526","532"
"05.01.2018 16:45 - 05.01.2018 17:00","525","543"
"05.01.2018 17:00 - 05.01.2018 17:15","539","541"
"05.01.2018 17:15 - 05.01.2018 17:30","543","549"
"05.01.2018 17:30 - 05.01.2018 17:45","548","566"
"05.01.2018 17:45 - 05.01.2018 18:00","552","571"
"05.01.2018 18:00 - 05.01.2018 18:15","569","592"
"05.01.2018 18:15 - 05.01.2018 18:30","577","647"
"05.01.2018 18:30 - 05.01.2018 18:45","584","691"
"05.01.2018 18:45 - 05.01.2018 19:00","591","694"
